Phonological Forms,Syllabic Structures,Number of Syllables,Written Forms,Syntactic Categories,Frequency,Stress Patterns
ʔɒp.li.cɒ.tor,CVC.CV.CV.CVC,4,آپليكاتور,N1,1,WWWS
ʔɒp.li.ce.du.zi,CVC.CV.CV.CV.CV,5,آپليكه‌دوزي,N1,1,WWWWS
ʔɒ.po.ʔɒn.zim,CV.CV.CVC.CVC,4,آپوآنزيم,N1,1,WWWS
ʔɒ.po.lo,CV.CV.CV,3,آپولو,N1,15,WWS
ʔɒ.pis,CV.CVC,2,آپيس,N1,1,WS
ʔɒ.tɒʃ.Gɒl,CV.CVC.CVC,3,آت‌آشغال,N1,1,WWS
ʔɒ.to.ʔɒʃ.Gɒl,CV.CV.CVC.CVC,4,آت‌وآشغال,N1,1,WWWS
ʔɒ.tɒ.ʃe,CV.CV.CV,3,آتاشه,N1,1,WWS
ʔɒ.tɒc.si,CV.CVC.CV,3,آتاكسي,N1,1,WWS
ʔɒt.ro.pin,CVC.CV.CVC,3,آتروپين,N1,1,WWS
ʔɒt.ro.fi,CVC.CV.CV,3,آتروفي,N1,1,WWS
ʔɒ.tæʃ,CV.CVC,2,آتش,N1,1215,WS
ʔɒ.tæ.ʃæf.ruz,CV.CV.CVC.CVC,4,آتش‌افروز,A0,6,WWWS
ʔɒ.tæ.ʃæf.ru.zi,CV.CV.CVC.CV.CV,5,آتش‌افروزي,N1,19,WWWWS
ʔɒ.tæ.ʃæn.dɒz,CV.CV.CVC.CVC,4,آتش‌انداز,N1,1,WWWS
ʔɒ.tæ.ʃæn.dɒ.zi,CV.CV.CVC.CV.CV,5,آتش‌اندازي,N1,1,WWWWS
ʔɒ.tæʃ.bɒ.rɒn,CV.CVC.CV.CVC,4,آتش‌باران,N1,1,WWWS
ʔɒ.tæʃ.bæs,CV.CVC.CVC,3,آتش‌بس,N1,90,WWS
ʔɒ.tæʃ.bi.jɒr,CV.CVC.CV.CVC,4,آتش‌بيار,N1,15,WWWS
ʔɒ.tæʃ.pɒ.re,CV.CVC.CV.CV,4,آتش‌پاره,A0,1,WWWS
ʔɒ.tæʃ.pæ.ræst,CV.CVC.CV.CVCC,4,آتش‌پرست,A0,2,WWWS
ʔɒ.tæʃ.pæ.ræs.ti,CV.CVC.CV.CVC.CV,5,آتش‌پرستي,N1,1,WWWWS
ʔɒ.tæʃ.χɒr,CV.CVC.CVC,3,آتش‌خوار,A0,3,WWS
ʔɒ.tæʃ.χiz,CV.CVC.CVC,3,آتش‌خيز,A0,1,WWS
ʔɒ.tæʃ.zɒ,CV.CVC.CV,3,آتش‌زا,A0,15,WWS
ʔɒ.tæʃ.su.zi,CV.CVC.CV.CV,4,آتش‌سوزي,N1,285,WWWS
ʔɒ.tæʃ.tæ.læb,CV.CVC.CV.CVC,4,آتش‌طلب,A0,1,WWWS
ʔɒ.tæʃ.ce.ʃi,CV.CVC.CV.CV,4,آتش‌كشي,N1,1,WWWS
ʔɒ.tæʃ.cuh,CV.CVC.CVC,3,آتش‌كوه,N1,15,WWS
ʔɒ.tæʃ.ɟær.dɒn,CV.CVC.CVC.CVC,4,آتش‌گردان,N1,1,WWWS
ʔɒ.tæʃ.ɟe.ref.te,CV.CVC.CV.CVC.CV,5,آتش‌گرفته,A0,1,WWWWS
ʔɒ.tæʃ.ɟir,CV.CVC.CVC,3,آتش‌گير,A0,1,WWS
ʔɒ.tæʃ.ne.ʃɒn,CV.CVC.CV.CVC,4,آتش‌نشان,N1,43,WWWS
ʔɒ.tæʃ.hæ.rɒ.si,CV.CVC.CV.CV.CV,5,آتش‌هراسي,N1,1,WWWWS
ʔɒ.tæʃ.bɒr,CV.CVC.CVC,3,آتشبار,N1,45,WWS
ʔɒ.tæʃ.bɒ.ri,CV.CVC.CV.CV,4,آتشباري,N1,30,WWWS
ʔɒ.tæʃ.bɒ.zi,CV.CVC.CV.CV,4,آتشبازي,N1,15,WWWS
ʔɒ.tæʃ.bɒn,CV.CVC.CVC,3,آتشبان,N1,1,WWS
ʔɒ.tæʃ.ʧær.χɒn,CV.CVC.CVC.CVC,4,آتشچرخان,N1,1,WWWS
ʔɒ.tæʃ.χɒ.ne,CV.CVC.CV.CV,4,آتشخانه,N1,1,WWWS
ʔɒ.tæʃ.dɒn,CV.CVC.CVC,3,آتشدان,N1,15,WWS
ʔɒ.tæʃ.dæ.me,CV.CVC.CV.CV,4,آتشدمه,N1,1,WWWS
ʔɒ.tæʃ.fe.ʃɒn,CV.CVC.CV.CVC,4,آتشفشان,N1,60,WWWS
ʔɒ.tæʃ.fe.ʃɒn.χiz,CV.CVC.CV.CVC.CVC,5,آتشفشان‌خيز,A0,2,WWWWS
ʔɒ.tæʃ.fe.ʃɒ.ni,CV.CVC.CV.CV.CV,5,آتشفشاني,A0,180,WWWWS
ʔɒ.tæ.ʃæc,CV.CV.CVC,3,آتشك,N1,6,WWS
ʔɒ.tæʃ.cɒr,CV.CVC.CVC,3,آتشكار,N1,1,WWS
ʔɒ.tæʃ.cɒ.ri,CV.CVC.CV.CV,4,آتشكاري,N1,2,WWWS
ʔɒ.tæʃ.cɒft,CV.CVC.CVCC,3,آتشكافت,N1,1,WWS
ʔɒ.tæʃ.cɒv,CV.CVC.CVC,3,آتشكاو,N1,1,WWS
ʔɒ.tæʃ.cæ.de,CV.CVC.CV.CV,4,آتشكده,N1,390,WWWS
ʔɒ.tæʃ.cæ.de.ʔi,CV.CVC.CV.CV.CV,5,آتشكده‌اي,A0,15,WWWWS
ʔɒ.tæʃ.ɟɒh,CV.CVC.CVC,3,آتشگاه,N1,45,WWS
ʔɒ.tæʃ.ɟɒh.ɟu.ne,CV.CVC.CVC.CV.CV,5,آتشگاه‌گونه,A0,105,WWWWS
ʔɒ.tæʃ.ɟær,CV.CVC.CVC,3,آتشگر,A0,1,WWS
ʔɒ.tæʃ.ɟun,CV.CVC.CVC,3,آتشگون,A0,1,WWS
ʔɒ.tæʃ.ɟi.re,CV.CVC.CV.CV,4,آتشگيره,N1,1,WWWS
ʔɒ.tæʃ.mɒr,CV.CVC.CVC,3,آتشمار,N1,1,WWS
ʔɒ.tæʃ.ne.ʃɒ.ni,CV.CVC.CV.CV.CV,5,آتشنشاني,N1,165,WWWWS
ʔɒ.tæ.ʃi,CV.CV.CV,3,آتشي,A0,30,WWS
ʔɒ.tæ.ʃi.me.zɒʤ,CV.CV.CV.CV.CVC,5,آتشي‌مزاج,A0,1,WWWWS
ʔɒ.tæ.ʃin,CV.CV.CVC,3,آتشين,A0,15,WWS
ʔɒ.tæ.ʃin.χu,CV.CV.CVC.CV,4,آتشين‌خو,A0,1,WWWS
ʔɒ.tæ.ʃin.me.zɒʤ,CV.CV.CVC.CV.CVC,5,آتشين‌مزاج,A0,1,WWWWS
ʔɒ.tel,CV.CVC,2,آتل,N1,3,WS
ʔɒ.tol,CV.CVC,2,آتل,N1,1,WS
ʔɒ.tol.je,CV.CVC.CV,3,آتليه,N1,1,WWS
ʔɒ.tom,CV.CVC,2,آتم,N1,1,WS
ʔɒt.mos.fer,CVC.CVC.CVC,3,آتمسفر,N1,15,WWS
ʔɒ.te.ni,CV.CV.CV,3,آتني,A0,45,WWS
ʔɒ.ti,CV.CV,2,آتي,A0,300,WS
ʔɒ.ti.sɒz,CV.CV.CVC,3,آتي‌ساز,A0,2,WWS
ʔɒ.ti.je,CV.CV.CV,3,آتيه,N1,30,WWS
ʔɒ.ti.je.ʔi,CV.CV.CV.CV,4,آتيه‌اي,A0,30,WWWS
ʔɒ.ti.je.dɒr,CV.CV.CV.CVC,4,آتيه‌دار,A0,3,WWWS
ʔɒ.sɒr,CV.CVC,2,آثار,N1,4650,WS
ʔɒ.sɒ.rol.bɒ.Gij.je,CV.CV.CVC.CV.CVC.CV,6,آثارالباقيه,N1,4,WWWWWS
ʔɒ.sɒm,CV.CVC,2,آثام,N1,15,WS
ʔɒʤ,CVC,1,آج,V1,5000,S
ʔɒ.ʤɒn,CV.CVC,2,آجان,N1,1,WS
ʔɒ.ʤɒn.ce.ʃi,CV.CVC.CV.CV,4,آجان‌كشي,N1,1,WWWS
ʔɒʤ.dɒr,CVC.CVC,2,آجدار,A0,1,WS
ʔɒ.ʤor,CV.CVC,2,آجر,N1,210,WS
ʔɒ.ʤor.tæ.rɒʃ,CV.CVC.CV.CVC,4,آجر‌تراش,N1,2,WWWS
ʔɒ.ʤor.ne.beʃ.te,CV.CVC.CV.CVC.CV,5,آجر‌نبشته,N1,4,WWWWS
ʔɒ.ʤor.pɒ.re,CV.CVC.CV.CV,4,آجرپاره,N1,1,WWWS
ʔɒ.ʤor.pæz,CV.CVC.CVC,3,آجرپز,N1,1,WWS
ʔɒ.ʤor.pæ.zi,CV.CVC.CV.CV,4,آجرپزي,N1,5,WWWS
ʔɒ.ʤor.ʧin,CV.CVC.CVC,3,آجرچين,N1,1,WWS
ʔɒ.ʤor.ʧi.ni,CV.CVC.CV.CV,4,آجرچيني,N1,15,WWWS
ʔɒ.ʤor.færʃ,CV.CVC.CVCC,3,آجرفرش,N1,1,WWS
ʔɒ.ʤor.cɒr,CV.CVC.CVC,3,آجركار,N1,2,WWS
ʔɒ.ʤor.cɒ.ri,CV.CVC.CV.CV,4,آجركاري,N1,5,WWWS
ʔɒ.ʤo.næ.mɒ,CV.CV.CV.CV,4,آجرنما,A0,1,WWWS
ʔɒ.ʤor.ne.veʃ.te,CV.CVC.CV.CVC.CV,5,آجرنوشته,N1,2,WWWWS
ʔɒ.ʤo.ri,CV.CV.CV,3,آجري,A0,240,WWS
ʔɒʤ.cɒ.ri,CVC.CV.CV,3,آجكاري,N1,1,WWS
ʔɒ.ʤel,CV.CVC,2,آجل,A0,1,WS
ʔɒ.ʤu.dɒn,CV.CV.CVC,3,آجودان,N1,2,WWS
ʔɒ.ʤu.dɒ.ni,CV.CV.CV.CV,4,آجوداني,N1,3,WWWS
ʔɒ.ʤid,CV.CVC,2,آجيد,V2,5000,WS
ʔɒ.ʤi.de,CV.CV.CV,3,آجيده,N1,1,WWS
ʔɒ.ʤi.de.du.zi,CV.CV.CV.CV.CV,5,آجيده‌دوزي,N1,1,WWWWS
ʔɒ.ʤil,CV.CVC,2,آجيل,N1,26,WS
ʔɒ.ʤi.lɒ.ʧɒr,CV.CV.CV.CVC,4,آجيل‌آچار,N1,1,WWWS
ʔɒ.ʤil.χo.ri,CV.CVC.CV.CV,4,آجيل‌خوري,N1,1,WWWS
ʔɒ.ʤil.fu.ruʃ,CV.CVC.CV.CVC,4,آجيل‌فروش,N1,1,WWWS
ʔɒ.ʤil.fu.ru.ʃi,CV.CVC.CV.CV.CV,5,آجيل‌فروشي,N1,1,WWWWS
ʔɒʧ,CVC,1,آچ,N1,1,S
ʔɒ.ʧɒr,CV.CVC,2,آچار,N1,5,WS
ʔɒ.ʧɒr.ce.ʃi,CV.CVC.CV.CV,4,آچاركشي,N1,1,WWWS
ʔɒc.mæz,CVC.CVC,2,آچمز,A0,1,WS
ʔɒ.ʧe.ʔi,CV.CV.CV,3,آچه‌اي,A0,1,WWS
ʔɒ.hɒd,CV.CVC,2,آحاد,N1,135,WS
ʔɒχ,CVC,1,آخ,N1,1,S
ʔɒ.χo.ʔuχ,CV.CV.CVC,3,آخ‌واوخ,N1,1,WWS
ʔɒ.χɒl,CV.CVC,2,آخال,N1,1,WS
ʔɒ.χɒl.suz,CV.CVC.CVC,3,آخالسوز,N1,1,WWS
ʔæχ.bɒr,CVC.CVC,2,أخبار,N1,1,WS
ʔɒχt,CVCC,1,آخت,V2,5000,S
ʔɒχ.te,CVC.CV,2,آخته,A0,6,WS
ʔɒ.χær,CV.CVC,2,آخر,N1,795,WS
ʔɒ.χæ.rol.ʔæmr,CV.CV.CVC.CVCC,4,آخر‌الامر,Ad,2,WWWS
ʔɒ.χæ.rɒz.zæ.mɒn,CV.CV.CVC.CV.CVC,5,آخرالزمان,N1,14,WWWWS
ʔɒ.χæ.roz.zæ.mɒ.ni,CV.CV.CVC.CV.CV.CV,6,آخرالزماني,A0,3,WWWWWS
ʔɒ.χe.ron.næhr,CV.CV.CVC.CVCC,4,آخرالنهر,N1,1,WWWS
ʔɒ.χær.bin,CV.CVC.CVC,3,آخربين,N1,1,WWS
ʔɒ.χe.ræt,CV.CV.CVC,3,آخرت,N1,135,WWS
ʔɒ.χe.ræt.bɒ.væ.ri,CV.CV.CVC.CV.CV.CV,6,آخرت‌باوري,N1,1,WWWWWS
ʔɒ.χe.ræt.χɒh,CV.CV.CVC.CVC,4,آخرت‌خواه,A0,1,WWWS
ʔɒ.χe.ræt.ɟe.rɒ,CV.CV.CVC.CV.CV,5,آخرت‌گرا,A0,1,WWWWS
ʔɒ.χe.ræt.ɟe.rɒ.ji,CV.CV.CVC.CV.CV.CV,6,آخرت‌گرايي,N1,1,WWWWWS
ʔɒ.χær.dæst,CV.CVC.CVCC,3,آخردست,N1,1,WWS
ʔɒ.χær.sær,CV.CVC.CVC,3,آخرسر,Ad,15,WWS
ʔɒ.χær.sæ.ri,CV.CVC.CV.CV,4,آخرسري,N1,1,WWWS
ʔɒ.χær.ʔɒ.Ge.bæt,CV.CVC.CV.CV.CVC,5,آخرعاقبت,N1,1,WWWWS
ʔɒ.χæ.re.ʔom.ri,CV.CV.CV.CVC.CV,5,آخرعمري,Ad,1,WWWWS
ʔɒ.χo.ræc,CV.CV.CVC,3,آخرك,N1,1,WWS
ʔɒ.χæ.ro.ʔɒ.Ge.bæt,CV.CV.CV.CV.CV.CVC,6,آخروعاقبت,N1,1,WWWWWS
ʔɒ.χæ.ri,CV.CV.CV,3,آخري,A0,6,WWS
ʔɒ.χeʃ,CV.CVC,2,آخش,N1,1,WS
ʔɒχ.ʃiʤ,CVC.CVC,2,آخشيج,N1,1,WS
ʔɒχ.ʃi.ʤɒn,CVC.CV.CVC,3,آخشيجان,N1,1,WWS
ʔɒ.χor,CV.CVC,2,آخور,N1,7,WS
ʔɒ.χo.re,CV.CV.CV,3,آخوره,N1,1,WWS
ʔɒ.χund,CV.CVCC,2,آخوند,N1,41,WS
ʔɒ.χun.dæc,CV.CVC.CVC,3,آخوندك,N1,1,WWS
ʔɒ.χun.di,CV.CVC.CV,3,آخوندي,A0,16,WWS
ʔɒ.χej,CV.CVC,2,آخي,N1,1,WS
ʔɒ.dɒ,CV.CV,2,آدا,N1,1,WS
ʔɒ.dɒb,CV.CVC,2,آداب,N1,210,WS
ʔɒ.dɒ.boʃ.ʃo.ʔæ.rɒ,CV.CV.CVC.CV.CV.CV,6,آداب‌الشعراء,N1,1,WWWWWS
ʔɒ.dɒ.bos.sæ.lɒt,CV.CV.CVC.CV.CVC,5,آداب‌الصلوة,N1,1,WWWWS
ʔɒ.dɒb.dɒ.ni,CV.CVC.CV.CV,4,آداب‌داني,N1,1,WWWS
ʔɒ.dɒ.bo.ro.sum,CV.CV.CV.CV.CVC,5,آداب‌ورسوم,N1,30,WWWWS
ʔɒ.dɒb.dɒn,CV.CVC.CVC,3,آدابدان,A0,1,WWS
ʔɒ.dɒp.tor,CV.CVC.CVC,3,آداپتور,N1,1,WWS
ʔɒ.dɒms,CV.CVCC,2,آدامس,N1,15,WS
ʔɒ.dɒms.fu.ru.ʃi,CV.CVCC.CV.CV.CV,5,آدامس‌فروشي,N1,1,WWWWS
ʔɒd.res,CVC.CVC,2,آدرس,N1,390,WS
ʔɒd.res.ne.vi.si,CVC.CVC.CV.CV.CV,5,آدرس‌نويسي,N1,1,WWWWS
ʔɒ.der.nɒ.lin,CV.CVC.CV.CVC,4,آدرنالين,N1,3,WWWS
ʔɒ.der.ner.ʒic,CV.CVC.CVC.CVC,4,آدرنرژيك,N1,1,WWWS
ʔɒ.dæm,CV.CVC,2,آدم,N1,405,WS
ʔɒ.dæ.mɒ.hæ.ni,CV.CV.CV.CV.CV,5,آدم‌آهني,N1,1,WWWWS
ʔɒ.dæm.bær.fi,CV.CVC.CVC.CV,4,آدم‌برفي,N1,1,WWWS
ʔɒ.dæm.bo.zorɟ,CV.CVC.CV.CVCC,4,آدم‌بزرگ,A0,2,WWWS
ʔɒ.dæm.be.ʃo,CV.CVC.CV.CV,4,آدم‌بشو,A0,1,WWWS
ʔɒ.dæm.χɒr,CV.CVC.CVC,3,آدم‌خوار,A0,15,WWS
ʔɒ.dæm.χɒ.ri,CV.CVC.CV.CV,4,آدم‌خواري,N1,4,WWWS
ʔɒ.dæm.ro.bɒ,CV.CVC.CV.CV,4,آدم‌ربا,N1,75,WWWS
ʔɒ.dæm.ro.bɒ.ʔi,CV.CVC.CV.CV.CV,5,آدم‌ربائي,N1,75,WWWWS
ʔɒ.dæm.ro.bɒ.ji,CV.CVC.CV.CV.CV,5,آدم‌ربايي,N1,52,WWWWS
ʔɒ.dæm.ro,CV.CVC.CV,3,آدم‌رو,N1,1,WWS
ʔɒ.dæm.zi.vi,CV.CVC.CV.CV,4,آدم‌زيوي,N1,1,WWWS
ʔɒ.dæm.sɒ.zi,CV.CVC.CV.CV,4,آدم‌سازي,N1,2,WWWS
ʔɒ.dæm.su.zi,CV.CVC.CV.CV,4,آدم‌سوزي,N1,3,WWWS
ʔɒ.dæm.ʃe.nɒs,CV.CVC.CV.CVC,4,آدم‌شناس,A0,1,WWWS
ʔɒ.dæm.fu.ruʃ,CV.CVC.CV.CVC,4,آدم‌فروش,A0,1,WWWS
ʔɒ.dæm.fu.ru.ʃi,CV.CVC.CV.CV.CV,5,آدم‌فروشي,N1,1,WWWWS
ʔɒ.dæm.Gæh.ti,CV.CVC.CVC.CV,4,آدم‌قحطي,N1,1,WWWS
ʔɒ.dæm.coʃ,CV.CVC.CVC,3,آدم‌كش,A0,11,WWS
ʔɒ.dæm.co.ʃi,CV.CVC.CV.CV,4,آدم‌كشي,N1,45,WWWS
ʔɒ.dæm.cu.tu.le,CV.CVC.CV.CV.CV,5,آدم‌كوتوله,N1,2,WWWWS
ʔɒ.dæm.mɒ.ʃi.ni,CV.CVC.CV.CV.CV,5,آدم‌ماشيني,N1,1,WWWWS
ʔɒ.dæm.mæs.nu.ʔi,CV.CVC.CVC.CV.CV,5,آدم‌مصنوعي,N1,1,WWWWS
ʔɒ.dæm.næ.di.de,CV.CVC.CV.CV.CV,5,آدم‌نديده,N1,1,WWWWS
ʔɒ.dæm.næ.mɒ,CV.CVC.CV.CV,4,آدم‌نما,A0,1,WWWS
ʔɒ.dæm.næ.mɒ.jɒn,CV.CVC.CV.CV.CVC,5,آدم‌نمايان,N1,1,WWWWS
ʔɒ.dæm.ʧe,CV.CVC.CV,3,آدمچه,N1,1,WWS
ʔɒ.dæ.mæc,CV.CV.CVC,3,آدمك,N1,15,WWS
ʔɒ.dæ.mi,CV.CV.CV,3,آدمي,N1,405,WWS
ʔɒ.dæ.mi.si.ræt,CV.CV.CV.CV.CVC,5,آدمي‌سيرت,A0,1,WWWWS
ʔɒ.dæ.mij.jæt,CV.CV.CVC.CVC,4,آدميت,N1,4,WWWS
ʔɒd.mi.rɒl,CVC.CV.CVC,3,آدميرال,N1,3,WWS
ʔɒ.dæ.mi.zɒd,CV.CV.CV.CVC,4,آدميزاد,N1,10,WWWS
ʔɒ.dæ.mi.zɒ.de,CV.CV.CV.CV.CV,5,آدميزاده,N1,15,WWWWS
ʔɒ.de.no.ʔid,CV.CV.CV.CVC,4,آدنوئيد,A0,1,WWWS
ʔɒ.de.no.zin,CV.CV.CV.CVC,4,آدنوزين,N1,1,WWWS
ʔɒ.de.nin,CV.CV.CVC,3,آدنين,N1,1,WWS
ʔɒ.de,CV.CV,2,آده,N1,1,WS
ʔɒ.di.ne,CV.CV.CV,3,آدينه,N1,18,WWS
ʔɒ.zɒr,CV.CVC,2,آذار,N1,1,WS
ʔɒ.zɒ.rɒ.Gi,CV.CV.CV.CV,4,آذاراقي,N1,1,WWWS
ʔɒ.zær.tur,CV.CVC.CVC,3,آذر‌تور,N1,1,WWS
ʔɒ.zær.sæ.hænd,CV.CVC.CV.CVCC,4,آذر‌سهند,N1,1,WWWS
ʔɒ.zæ.rɒb,CV.CV.CVC,3,آذرآب,N1,8,WWS
ʔɒ.zær.bɒ.je.ʤɒ.ni,CV.CVC.CV.CV.CV.CV,6,آذربايجاني,A0,405,WWWWWS
ʔɒ.zær.bærG,CV.CVC.CVCC,3,آذربرق,N1,1,WWS
ʔɒ.zær.bu,CV.CVC.CV,3,آذربو,N1,1,WWS
ʔɒ.zær.pe.res,CV.CVC.CV.CVC,4,آذرپرس,N1,24,WWWS
ʔɒ.zæ.ræχʃ,CV.CV.CVCC,3,آذرخش,N1,9,WWS
ʔɒ.zæ.res.tɒn,CV.CV.CVC.CVC,4,آذرستان,N1,1,WWWS
ʔɒ.zær.sænʤ,CV.CVC.CVCC,3,آذرسنج,N1,1,WWS
ʔɒ.zær.ʃæb,CV.CVC.CVC,3,آذرشب,N1,3,WWS
ʔɒ.zær.fɒm,CV.CVC.CVC,3,آذرفام,N1,2,WWS
ʔɒ.zær.ɟun,CV.CVC.CVC,3,آذرگون,N1,1,WWS
ʔɒ.zær.ɟuj,CV.CVC.CVC,3,آذرگوي,N1,1,WWS
ʔɒ.zær.ɟin,CV.CVC.CVC,3,آذرگين,A0,1,WWS
ʔɒ.zær.mɒh,CV.CVC.CVC,3,آذرماه,N1,230,WWS
ʔɒ.zæ.rænd,CV.CV.CVCC,3,آذرند,N1,15,WWS
ʔɒ.zæ.ri,CV.CV.CV,3,آذري,A0,75,WWS
ʔɒ.zæ.ri.tæ.bɒr,CV.CV.CV.CV.CVC,5,آذري‌تبار,A0,1,WWWWS
ʔɒ.zæ.ri.zæ.bɒn,CV.CV.CV.CV.CVC,5,آذري‌زبان,A0,1,WWWWS
ʔɒ.zæ.ri.ne.ʃin,CV.CV.CV.CV.CVC,5,آذري‌نشين,A0,1,WWWWS
ʔɒ.zæ.rin,CV.CV.CVC,3,آذرين,A0,1,WWS
ʔɒ.zæ.ri.ni,CV.CV.CV.CV,4,آذريني,A0,1,WWWS
ʔɒ.zær.jun,CV.CVC.CVC,3,آذريون,N1,1,WWS
ʔɒ.zu.Ge,CV.CV.CV,3,آذوغه,N1,1,WWS
ʔɒ.zu.Ge,CV.CV.CV,3,آذوقه,N1,15,WWS
ʔɒ.zin,CV.CVC,2,آذين,N1,11,WS
ʔɒ.zin.bæn.di,CV.CVC.CVC.CV,4,آذين‌بندي,N1,1,WWWS
ʔɒ.zin.ʃo.de,CV.CVC.CV.CV,4,آذين‌شده,A0,3,WWWS
ʔɒr,CVC,1,آر,N1,1,S
ʔɒ.rɒ,CV.CV,2,آرا,N1,690,WS
ʔɒ.rɒ,CV.CV,2,آرا,V1,5000,WS
ʔɒ.rɒ,CV.CV,2,آراء,N1,19,WS
ʔɒ.rɒ.besc,CV.CV.CVCC,3,آرابسك,N1,1,WWS
ʔɒ.rɒd,CV.CVC,2,آراد,N1,13,WS
ʔɒ.rɒst,CV.CVCC,2,آراست,V2,5000,WS
ʔɒ.rɒs.te.ɟi,CV.CVC.CV.CV,4,آراستگي,N1,8,WWWS
ʔɒ.rɒs.te,CV.CVC.CV,3,آراسته,A0,90,WWS
ʔɒ.rɒs.te.χu,CV.CVC.CV.CV,4,آراسته‌خو,A0,2,WWWS
ʔɒ.rɒm,CV.CVC,2,آرام,A0,555,WS
ʔɒ.rɒm,CV.CVC,2,آرام,V1,5000,WS
ʔɒ.rɒ.mɒ.rɒm,CV.CV.CV.CVC,4,آرام‌آرام,Ad,2,WWWS
ʔɒ.rɒm.bæχʃ,CV.CVC.CVCC,3,آرام‌بخش,A0,15,WWS
ʔɒ.rɒm.bæχ.ʃi,CV.CVC.CVC.CV,4,آرام‌بخشي,N1,15,WWWS
ʔɒ.rɒm.pæz,CV.CVC.CVC,3,آرام‌پز,N1,1,WWS
ʔɒ.rɒm.sɒ.zi,CV.CVC.CV.CV,4,آرام‌سازي,N1,30,WWWS
ʔɒ.rɒm.co.næn.de.ɟi,CV.CVC.CV.CVC.CV.CV,6,آرام‌كنندگي,N1,1,WWWWWS
ʔɒ.rɒm.co.næn.de,CV.CVC.CV.CVC.CV,5,آرام‌كننده,A0,3,WWWWS
ʔɒ.rɒm.bænd,CV.CVC.CVCC,3,آرامبند,N1,1,WWS
ʔɒ.rɒ.meʃ,CV.CV.CVC,3,آرامش,N1,765,WWS
ʔɒ.rɒ.me.ʃɒ.fæ.rin,CV.CV.CV.CV.CV.CVC,6,آرامش‌آفرين,A0,1,WWWWWS
ʔɒ.rɒ.meʃ.bæχʃ,CV.CV.CVC.CVCC,4,آرامش‌بخش,A0,45,WWWS
ʔɒ.rɒ.meʃ.dæ.hæn.de,CV.CV.CVC.CV.CVC.CV,6,آرامش‌دهنده,A0,2,WWWWWS
ʔɒ.rɒ.meʃ.zɒ,CV.CV.CVC.CV,4,آرامش‌زا,A0,1,WWWS
ʔɒ.rɒ.meʃ.sɒz,CV.CV.CVC.CVC,4,آرامش‌ساز,A0,1,WWWS
ʔɒ.rɒ.meʃ.tæ.læb,CV.CV.CVC.CV.CVC,5,آرامش‌طلب,A0,1,WWWWS
ʔɒ.rɒ.meʃ.tæ.læ.bi,CV.CV.CVC.CV.CV.CV,6,آرامش‌طلبي,N1,2,WWWWWS
ʔɒ.rɒ.me.ʃi,CV.CV.CV.CV,4,آرامشي,A0,4,WWWS
ʔɒ.rɒm.co,CV.CVC.CV,3,آرامكو,N1,7,WWS
ʔɒ.rɒm.ɟɒn,CV.CVC.CVC,3,آرامگان,N1,1,WWS
ʔɒ.rɒm.ɟɒh,CV.CVC.CVC,3,آرامگاه,N1,1095,WWS
ʔɒ.rɒm.ɟɒh.sɒ.zi,CV.CVC.CVC.CV.CV,5,آرامگاه‌سازي,N1,1,WWWWS
ʔɒ.rɒm.ɟɒ.hi,CV.CVC.CV.CV,4,آرامگاهي,A0,15,WWWS
ʔɒ.rɒm.ɟæh,CV.CVC.CVC,3,آرامگه,N1,1,WWS
ʔɒ.rɒ.mi,CV.CV.CV,3,آرامي,N1,30,WWS
ʔɒ.rɒ.mid,CV.CV.CVC,3,آراميد,V2,5000,WWS
ʔɒ.rɒ.ni,CV.CV.CV,3,آراني,A0,2,WWS
ʔɒ.rɒj,CV.CVC,2,آراي,N1,2,WS
ʔɒ.rɒ.jeʃ,CV.CV.CVC,3,آرايش,N1,60,WWS
ʔɒ.rɒ.jeʃ.ʃo.de,CV.CV.CVC.CV.CV,5,آرايش‌شده,A0,1,WWWWS
ʔɒ.rɒ.jeʃ.cær.de,CV.CV.CVC.CVC.CV,5,آرايش‌كرده,A0,1,WWWWS
ʔɒ.rɒ.jeʃ.ɟɒh,CV.CV.CVC.CVC,4,آرايشگاه,N1,3,WWWS
ʔɒ.rɒ.jeʃ.ɟær,CV.CV.CVC.CVC,4,آرايشگر,N1,8,WWWS
ʔɒ.rɒ.jeʃ.ɟæ.ri,CV.CV.CVC.CV.CV,5,آرايشگري,N1,1,WWWWS
ʔɒ.rɒ.je.ʃi,CV.CV.CV.CV,4,آرايشي,A0,30,WWWS
ʔɒ.rɒ.je,CV.CV.CV,3,آرايه,N1,9,WWS
ʔɒ.rɒ.je.ɟær,CV.CV.CV.CVC,4,آرايه‌گر,N1,1,WWWS
ʔɒ.rɒ.jid,CV.CV.CVC,3,آراييد,V2,5000,WWS
ʔɒr.pi.ʤi,CVC.CV.CV,3,آرپي‌جي,N1,8,WWS
ʔɒr.pi.ʤi.hæft,CVC.CV.CV.CVCC,4,آرپيجي‌هفت,N1,15,WWWS
ʔɒr.te.roz,CVC.CV.CVC,3,آرترز,N1,1,WWS
ʔɒr.te.ro.ɟe.rɒ.fi,CVC.CV.CV.CV.CV.CV,6,آرترگرافي,N1,1,WWWWWS
ʔɒr.te.roz,CVC.CV.CVC,3,آرتروز,N1,15,WWS
